Kuukausi	Autoja	Markkina-osuus (%)	1-0X/202X	Markkina-osuus (%)	1-0X/202X	Markkina-osuus (%)	Kumulatiivinen muutos (%)
01/2022	2	0,00					
02/2022	35	0,56	37	0,26	65	0,38	−43,08
03/2022	420	5,67	457	2,14	363	1,32	25,90
04/2022	12	0,19	469	1,69	370	1,03	26,76
05/2022	11	0,14	480	1,36	389	0,85	23,39
06/2022	155	2,16	635	1,49	666	1,21	−4,65
07/2022	28	0,52	663	1,38	667	1,07	−0,60
08/2022	67	0,96	730	1,33	684	0,98	6,73
09/2022	218	3,25	948	1,54	1089	1,43	−12,95
10/2022	5	0,08	953	1,41	1092	1,32	−12,73
11/2022	190	3,00	1143	1,54	1140	1,28	0,26
12/2022	546	8,89	1689	2,10	1516	1,58	11,41
01/2023	49	0,69	2	0,03			2 350,00
02/2023	382	6,32	431	3,28	37	0,26	1 064,86
03/2023	897	11,85	1328	6,42	457	2,14	190,59
04/2023	226	3,14	1554	5,57	469	1,69	231,34
05/2023	532	5,75	2086	5,61	480	1,36	334,58