Kuukausi / Month;Bensiini / Gasoline;Diesel / Diesel ;Sähkö / BEV;CNG / CNG;PHEV bensiini / PHEV Gasoline;PHEV diesel / PHEV Diesel;Ei-ladattava hybridi, bensiini / HEV Gasoline;Ei-ladattava hybridi, diesel / HEV Diesel;Vety / Hydrogen;Etanoli / Ethanol;YHTEENSÄ / Altogether                                                                                                                                                                                                                                                           
2015M1;5 668;4 308;13;24;23;2;199;3;0;28;10 268
2015M2;4 457;3 287;10;13;28;1;180;3;0;11;7 990
2015M3;6 988;3 728;42;20;26;0;284;2;0;8;11 098
2015M4;5 759;3 539;18;13;45;0;252;3;0;7;9 636
2015M5;5 738;3 032;21;11;45;1;253;0;0;16;9 117
2015M6;5 514;3 194;20;15;34;4;187;2;0;10;8 980
2015M7;5 688;2 802;34;8;28;2;152;1;0;8;8 723
2015M8;5 428;2 677;15;13;36;0;224;5;0;4;8 402
2015M9;5 264;2 943;33;6;36;0;229;3;0;1;8 515
2015M10;5 724;3 079;16;10;33;4;295;0;0;6;9 167
2015M11;5 593;3 019;11;11;23;1;333;1;0;4;8 996
2015M12;4 427;3 189;10;14;43;0;229;6;0;2;7 920
2016M1;7 114;4 202;15;13;88;1;357;2;0;2;11 794
2016M2;5 783;3 408;34;11;125;2;301;1;0;1;9 666
2016M3;7 353;3 711;28;18;97;0;443;3;0;1;11 654
2016M4;6 902;3 689;13;16;82;0;383;2;0;1;11 088
2016M5;6 427;3 569;9;17;74;1;423;0;0;3;10 523
2016M6;6 698;3 484;13;12;96;6;442;0;0;1;10 752
2016M7;5 257;2 663;11;9;86;8;308;0;0;2;8 344
2016M8;5 825;2 804;12;18;65;6;469;1;0;1;9 201
2016M9;6 115;2 954;29;8;94;23;425;1;0;0;9 649
2016M10;5 636;2 980;14;14;103;19;399;0;0;1;9 166
2016M11;5 409;3 058;7;15;106;15;396;1;0;1;9 008
2016M12;4 732;2 929;38;14;99;12;322;0;0;0;8 146
2017M1;7 159;4 614;46;18;159;30;718;0;0;0;12 744
2017M2;5 211;3 092;27;9;114;9;706;0;0;0;9 168
2017M3;6 755;3 448;56;17;148;16;774;0;0;0;11 214
2017M4;5 525;3 021;39;22;142;18;632;0;0;1;9 399
2017M5;6 566;3 517;47;35;174;12;706;0;0;0;11 058
2017M6;6 306;3 376;57;39;176;15;899;0;0;0;10 868
2017M7;5 367;2 454;34;39;195;14;752;0;0;0;8 855
2017M8;5 740;2 758;36;42;220;7;869;0;0;0;9 672
2017M9;5 372;2 648;49;48;234;12;755;0;0;0;9 118
2017M10;5 429;2 338;18;52;273;3;637;0;0;0;8 750
2017M11;6 055;2 488;41;63;314;11;696;1;0;0;9 669
2017M12;5 035;2 306;52;49;252;5;368;1;0;0;8 068
2018M1;8 305;3 470;36;102;471;15;1 184;1;0;0;13 584
2018M2;5 565;2 258;37;75;347;4;820;3;0;0;9 109
2018M3;7 294;2 753;102;118;454;18;979;5;0;0;11 723
2018M4;6 559;2 709;66;124;512;11;1 065;1;0;0;11 047
2018M5;7 639;2 814;43;153;586;17;1 231;4;0;0;12 487
2018M6;7 184;2 719;68;173;425;17;1 067;8;0;0;11 661
2018M7;5 855;2 043;38;130;371;17;1 123;6;0;0;9 583
2018M8;7 578;2 473;68;216;428;13;1 217;14;0;0;12 007
2018M9;3 648;1 688;83;27;239;8;827;12;0;0;6 532
2018M10;4 431;2 076;58;14;361;8;926;66;0;0;7 940
2018M11;5 201;2 038;92;9;345;3;908;71;0;0;8 667
2018M12;3 806;1 669;85;20;258;4;284;33;0;0;6 159
2019M1;6 809;2 707;107;26;511;4;1 476;98;0;0;11 738
2019M2;4 720;1 826;127;10;357;4;991;50;0;0;8 085
2019M3;5 343;2 024;239;36;454;6;1 114;63;0;0;9 279
2019M4;5 958;1 919;190;95;389;5;1 131;61;0;0;9 748
2019M5;6 539;2 028;93;190;383;17;1 557;84;0;0;10 891
2019M6;6 545;1 798;239;270;254;20;1 332;81;0;0;10 539
2019M7;5 667;1 480;168;257;235;16;1 352;45;0;0;9 220
2019M8;5 910;1 786;151;243;421;9;1 410;64;0;0;9 994
2019M9;4 780;1 263;262;237;465;9;1 308;115;0;0;8 439
2019M10;5 500;1 433;73;276;811;21;1 152;104;0;0;9 370
2019M11;5 143;1 231;91;273;736;32;1 056;121;0;0;8 683
2019M12;4 837;1 376;157;229;791;16;703;104;0;0;8 213
2020M1;5 640;1 482;180;321;1 237;26;1 760;155;0;0;10 801
2020M2;4 032;1 164;227;199;1 093;18;1 447;91;0;0;8 271
2020M3;4 269;1 299;511;215;1 256;12;1 483;154;0;0;9 199
2020M4;2 870;942;195;149;745;18;975;87;0;0;5 981
2020M5;2 675;769;112;57;529;28;891;49;0;0;5 110
2020M6;4 303;1 239;274;194;875;13;1 028;99;0;0;8 025
2020M7;4 607;1 118;226;291;1 224;23;1 515;99;0;0;9 103
2020M8;3 883;1 168;278;141;1 142;43;1 745;85;0;0;8 485
2020M9;3 714;920;678;55;1 257;58;1 662;80;0;0;8 424
2020M10;3 553;894;243;47;934;72;1 641;116;0;0;7 500
2020M11;3 161;898;267;60;1 049;71;1 744;125;0;0;7 375
2020M12;2 882;884;1 053;111;1 455;53;1 480;214;0;0;8 132
2021M1;3 306;937;355;109;1 652;145;2 611;258;0;0;9 373
2021M2;2 838;766;359;94;1 689;56;2 150;223;0;0;8 175
2021M3;3 507;905;789;104;2 120;78;2 690;234;0;0;10 427
2021M4;2 836;788;614;89;2 064;70;2 139;245;0;0;8 845
2021M5;3 098;954;962;81;2 121;39;2 505;205;0;0;9 965
2021M6;2 951;881;1 056;105;1 909;33;2 863;148;0;0;9 946
2021M7;2 313;644;752;82;1 324;31;2 166;175;0;0;7 487
2021M8;2 447;777;802;61;1 393;24;2 224;174;0;4;7 906
2021M9;2 109;462;734;46;1 180;54;1 811;137;0;0;6 533
2021M10;1 885;423;1 193;44;1 290;34;1 614;123;0;7;6 613
2021M11;1 817;425;957;42;1 498;39;1 738;160;1;0;6 677
2021M12;1 650;435;1 579;52;1 279;17;1 360;153;0;1;6 526
2022M1;1 947;480;992;73;1 605;46;2 598;141;0;0;7 882
2022M2;1 656;410;784;33;1 334;26;1 890;169;0;2;6 304
2022M3;1 964;547;1 264;24;1 378;44;2 153;166;0;3;7 543
2022M4;1 762;453;777;11;1 149;39;2 084;149;0;8;6 432
2022M5;2 127;581;992;17;1 565;37;2 486;134;0;2;7 941
2022M6;1 965;580;1 141;32;1 432;45;2 035;166;0;2;7 398
2022M7;1 282;379;862;36;1 096;35;1 663;148;0;2;5 503
2022M8;1 618;409;1 590;75;1 256;35;1 971;160;0;0;7 114
2022M9;1 429;432;1 463;97;1 223;41;1 996;120;0;0;6 801
2022M10;1 208;407;1 238;93;1 274;14;1 863;99;0;2;6 198
2022M11;1 145;386;1 584;62;1 340;24;1 760;87;0;4;6 392
2022M12;1 141;354;1 843;42;1 118;15;1 584;87;0;2;6 186
2023M1;1 183;312;1 862;51;1 279;16;2 352;118;0;2;7 175
2023M2;1 103;307;1 853;23;1 152;9;1 563;102;0;5;6 117
2023M3;1 208;267;2 872;21;1 352;32;1 807;114;0;4;7 677
2023M4;1 030;322;2 347;34;1 642;31;1 793;104;0;2;7 305
2023M5;1 586;519;3 275;41;1 562;35;2 313;104;0;1;9 436
2023M6;1 468;482;3 092;54;1 697;26;2 280;65;0;0;9 164
2023M7;941;317;1 702;86;1 612;19;1 645;75;0;1;6 398
2023M8;1 030;385;2 812;31;1 751;17;1 748;49;0;0;7 823
2023M9;985;305;3 002;31;1 408;9;1 693;48;0;2;7 483
2023M10;832;335;2 305;30;1 472;10;1 423;44;0;0;6 451
2023M11;855;299;2 310;35;1 444;9;1 666;55;0;0;6 673
2023M12;689;274;2 104;16;1 496;7;1 161;54;0;0;5 801
2024M1;801;354;1 587;17;1 525;20;2 238;46;0;2;6 590
2024M2;736;297;1 330;36;1 214;23;1 702;33;0;3;5 374
2024M3;887;275;1 850;14;1 384;22;2 015;33;0;4;6 484
2024M4;855;289;1 677;9;1 188;12;2 093;34;0;3;6 160
2024M5;1 077;377;2 223;9;1 324;38;2 661;66;0;6;7 781
2024M6;1 163;418;1 902;11;1 055;12;2 143;46;0;15;6 765
2024M7;816;293;1 340;3;942;7;1 762;31;0;3;5 197
2024M8;1 157;291;1 893;5;1 330;11;1 818;42;0;1;6 548
